年份,岗位代码,地区,部门名称,职位,学历,专业,招考人数,报考人数,分数线,最高分,城市
2019,40071,宿州,萧县市场监督管理局,市场监管,本科,药学类、中药学类,1,123,51,73,辛集市
2014,40072,宿州,萧县市场监督管理局,市场监管,本科,计算机类,2,110,62,75,兴安盟市
2019,40073,宿州,萧县市场监督管理局,市场监管,本科,会计学专业、财务管理专业、审计学专业、财政学专业、金融学专业,1,73,59,67,张家港县
2019,40074,宿州,萧县司法局,司法行政,本科,不限,1,1,79,75,上海县
2018,40075,宿州,萧县农业农村局,机关综合,本科,不限,1,1,74,65,齐齐哈尔县
2020,40076,宿州,萧县人力资源和社会保障局,文字综合,本科,不限,2,172,86,72,哈尔滨市
2018,40077,宿州,萧县财政局,财务管理,本科,经济学专业、财政学专业、金融学专业、投资学专业、会计学专业、税收学专业、财务管理专业、资产评估专业,1,1,43,75,玲市
2018,40078,宿州,萧县水利局,水利建设,本科,水利类、土木、水利与交通工程专业、农业水利工程专业,1,19,57,71,郑州县
2019,40079,宿州,萧县经济和信息化局,项目建设,本科,电子信息类、机械设计制造及其自动化专业、国际经济与贸易专业,1,12,77,80,武汉市
2022,40080,宿州,萧县经济和信息化局,机关综合,本科,不限,1,83,82,72,南京市
2018,40081,宿州,萧县教育体育局,机关综合,本科,中国语言文学类、教育学专业、教育技术学专业、行政管理专业,1,1,66,69,俊市
2014,40082,宿州,萧县文化和旅游局,文化旅游,本科,新闻传播学类,1,68,76,75,南京市
2015,40083,宿州,萧县审计局,财务审计,本科,会计学专业、财务管理专业、审计学专业、财政学专业、金融学专业,3,1,83,61,俊市
2015,40084,宿州,萧县乡村振兴局,扶贫管理,本科,工商管理类、工程管理专业、信息管理与信息系统专业、工程审计专业,1,71,91,79,芳县
2015,40085,宿州,萧县城市管理局,法规指导,本科,法学类,2,1,69,74,秀芳县
2017,40086,宿州,萧县公安局,人民警察,本科,公共管理类、汉语言文学专业、汉语言专业、秘书学专业,4,1,62,70,南京市
2016,40087,宿州,萧县公安局,人民警察,本科,新闻学专业、网络与新媒体专业、传播学专业、编辑出版学专业,6,31,49,72,昆明县
2016,40088,宿州,萧县公安局,人民警察,本科,法学门类,7,34,40,60,杰市
2014,40089,宿州,萧县公安局,人民警察,本科,不限,7,1,42,67,佛山县
2020,40090,宿州,萧县公安局,人民警察,本科,食品质量与安全专业、食品安全与检测专业、食品科学与工程专业、化妆品科学与技术专业、药物制剂专业、环境科学与工程专业、环境生态工程专业、植物保护专业、野生动物与自然保护区管理专业、动物科学专业、动植物检疫专业,1,53,81,63,佛山县
2019,40091,宿州,萧县公安局,信息通信★,本科,计算机类、电子信息类,1,16,61,74,琳市
2020,40092,宿州,萧县公安局,网络安全管理★,本科,计算机类,5,60,51,66,香港市
2021,40093,宿州,萧县公安局,网络安全管理★,本科,计算机科学与技术专业、数据科学与大数据技术专业、软件工程专业、智能科学与技术专业,4,108,88,74,巢湖市
2014,40094,宿州,中共萧县县委党史和地方志研究室,党史研究,本科,中国语言文学类、档案学专业、历史学专业,4,1,85,76,丹丹市
2013,40095,宿州,中共萧县县委党史和地方志研究室,党史研究,本科,不限,1,87,57,64,潜江县
2016,40096,宿州,萧县残疾人联合会,机关综合,本科,不限,1,60,53,68,石家庄县
2014,40097,宿州,萧县经济开发区管理委员会,法律服务,本科,法学类,3,73,75,65,昆明县
2021,40098,宿州,萧县经济开发区管理委员会,对外宣传,本科,新闻传播学类,1,86,83,75,丹丹市
2018,40099,宿州,萧县审计局县经济责任审计中心,财务审计,本科,会计学专业、财务管理专业、审计学专业、财政学专业、金融学专业,2,46,76,66,北镇市
2022,40100,宿州,萧县财政局县非税收入管理服务中心,财务管理,本科,经济学专业、财政学专业、金融学专业、投资学专业、会计学专业、税收学专业、财务管理专业、资产评估专业,3,54,44,69,西宁市
2019,40101,宿州,萧县乡镇机关,村镇事务管理,本科,不限,10,12,58,73,宇县
2017,40102,宿州,萧县乡镇机关,村镇事务管理,本科,不限,7,145,89,79,西宁市
2014,40103,宿州,萧县乡镇机关,村镇事务管理,专科,不限,4,478,59,74,南京市
2018,40104,宿州,萧县乡镇机关,村镇事务管理,本科,不限,5,35,76,69,潜江县
2019,40105,宿州,萧县乡镇机关,人武专干,专科,不限,1,103,68,71,张家港县
2021,40106,宿州,中共灵璧县纪律检查委员会监察委员会,监督执纪,本科,法学类、公安学类,2,1,76,73,潜江县
2018,40107,宿州,中共灵璧县纪律检查委员会监察委员会派驻纪检监察组,监督执纪,本科,经济学类、金融学类、财务管理专业、会计学专业、审计学专业,4,1,60,68,北镇市
2014,40108,宿州,中共灵璧县纪律检查委员会监察委员会派驻纪检监察组,监督执纪,本科,不限,1,1,44,69,上海市
2013,40109,宿州,灵璧县发展和改革委员会（粮食和物资储备局）,固定资产投资管理,本科,经济学专业、经济统计学专业、投资学专业、财政学专业、审计学专业,1,42,80,76,哈尔滨县
2017,40110,宿州,灵璧县发展和改革委员会（粮食和物资储备局）,国民经济规划,本科,金融学专业、国际经济与贸易专业、经济与金融专业、数字经济专业、国民经济管理专业、互联网金融专业,3,99,86,76,志强县
2017,40111,宿州,灵璧县交通运输局,工程建设管理,本科,道路桥梁与渡河工程专业、土木工程专业、工程管理专业、工程审计专业,4,16,52,66,秀芳县
2013,40112,宿州,灵璧县交通运输局,工程建设管理,本科,不限,2,1,62,71,海燕市
2021,40113,宿州,灵璧县水利局,水利管理,本科,水利水电工程专业、水文与水资源工程专业、水务工程专业、水利科学与工程专业,5,1,56,73,潜江县
2014,40114,宿州,灵璧县统计局,经济统计,本科,不限,1,1,43,74,南京市
2021,40115,宿州,灵璧县住房和城乡建设局,城乡建设,本科,建筑类、土木类、安全科学与工程类、管理科学与工程类、消防工程专业,1,1,60,80,哈尔滨市
2019,40116,宿州,灵璧县经济和信息化局,经济运行管理,本科,经济学类、经济与贸易类,1,91,81,69,海口市
2022,40117,宿州,灵璧县经济和信息化局,经济运行管理,本科,工业工程类、电子商务类、工程管理专业、工程造价专业、工程审计专业,3,1,83,70,海燕市
2022,40118,宿州,灵璧县数据资源局,数据管理,本科,计算机类、电子信息类,1,45,61,70,香港市
2019,40119,宿州,灵璧县城市管理局,城市管理,本科,公共管理类、城乡规划专业、人居环境科学与技术专业,1,84,59,67,琳市
2016,40120,宿州,灵璧县卫生健康委员会,卫生健康管理,本科,计算机类、电子信息类,1,1,60,66,丽市
2014,40121,宿州,灵璧县卫生健康委员会,卫生健康管理,本科,公共卫生与预防医学类、卫生检验与检疫专业、基础医学专业、中西医临床医学专业、药学专业,3,45,82,69,香港市
2018,40122,宿州,灵璧县市场监督管理局,市场监管,本科,经济学类、金融学类、法学类、药学类,3,1,69,76,佛山县
2021,40123,宿州,灵璧县市场监督管理局,市场监管,本科,不限,2,104,38,59,丹丹市
2020,40124,宿州,灵璧县公安局,人民警察,本科,法学门类,5,117,52,64,杰市
2020,40125,宿州,灵璧县公安局,人民警察,本科,不限,4,47,66,67,杰市
2022,40126,宿州,灵璧县公安局,人民警察,本科,法学门类,1,136,58,73,福州市
2019,40127,宿州,灵璧县乡镇机关,村镇事务管理,本科,不限,6,73,50,73,郑州市
2018,40128,宿州,灵璧县乡镇机关,村镇事务管理,本科,不限,4,1,50,73,宇县
2020,40129,宿州,灵璧县乡镇机关,村镇事务管理,本科,不限,3,208,87,72,玲市
2013,40130,宿州,灵璧县乡镇机关,村镇事务管理,专科,不限,1,407,51,74,张家港县
2018,40131,宿州,灵璧县乡镇机关,人武专干,专科,人民武装专业（退役军人报考可不限专业）,1,1,75,57,郑州市
2016,40132,宿州,中共泗县纪律检查委员会监察委员会,监督执纪,本科,电子信息类、审计学专业,2,43,48,77,海燕市
2020,40133,宿州,中共泗县纪律检查委员会监察委员会,监督执纪,本科,不限,5,121,57,71,哈尔滨市
2014,40134,宿州,中共泗县县委组织部,机关综合,本科,不限,2,138,49,70,杰市
2019,40135,宿州,泗县总工会,机关综合,本科,公共管理类、工商管理类,3,12,54,77,琳市
2016,40136,宿州,泗县经济和信息化局,工业经济管理,本科,经济学类、经济与贸易类、统计学专业、金融学专业、汉语言文学专业,3,79,68,70,齐齐哈尔县
2022,40137,宿州,泗县司法局,机关综合,本科,中国语言文学类,4,103,62,67,上海县
2016,40138,宿州,泗县司法局,司法行政,本科,法学类,1,4,58,67,海燕市
2014,40139,宿州,泗县司法局,司法行政,本科,不限,4,32,76,71,丽市
2018,40140,宿州,泗县司法局,司法行政,本科,不限,1,1,81,72,荣县
2018,40141,宿州,泗县城市管理局,城市建设,本科,公共管理类、工商管理类,1,70,89,77,海口市
2016,40142,宿州,泗县商务局,财务管理,本科,经济学类、金融学类、会计学专业、财务管理专业、审计学专业,1,68,65,64,上海市
2014,40143,宿州,泗县科学技术局,科学技术管理,本科,经济学类、法学类、会计学专业、财务管理专业,2,18,72,75,武汉市
2013,40144,宿州,泗县科学技术局,科学技术管理,本科,机械类、材料类、电子信息类、自动化类,4,146,77,72,佛山县
2020,40145,宿州,泗县卫生健康委员会,卫生健康管理,本科,医学门类,1,36,69,76,玲市
2021,40146,宿州,泗县卫生健康委员会,卫生健康管理,本科,不限,1,72,49,74,哈尔滨市
2022,40147,宿州,泗县统计局,经济统计,本科,经济学类、统计学类、会计学专业,4,1,71,75,上海县
2016,40148,宿州,泗县乡村振兴局,机关综合,本科,中国语言文学类、计算机类、统计学类,2,1,73,68,南京市
2019,40149,宿州,泗县乡村振兴局,乡村建设管理,本科,土木类、农业经济管理类、城乡规划专业,1,1,80,68,南京市
2014,40150,宿州,泗县审计局,财务审计,本科,会计学专业、审计学专业、财务管理专业、财政学专业、金融学专业,1,69,62,66,俊市
2017,40151,宿州,泗县教育体育局,教体管理,本科,体育学类、教育学类,1,128,67,65,杰市
2020,40152,宿州,泗县教育体育局,财务管理,本科,经济学类、金融学类、会计学专业、财务管理专业、审计学专业,2,22,78,67,哈尔滨县
2019,40153,宿州,泗县民政局,公共服务,本科,社会学专业、社会工作专业、养老服务管理专业、公共事业管理专业、劳动与社会保障专业,2,4,78,78,俊市
2019,40154,宿州,泗县经济开发区管理委员会,机关综合,本科,经济学类、金融学类、经济与贸易类,2,63,70,75,宁德县
2020,40155,宿州,泗县经济开发区管理委员会,机关综合,本科,统计学类、经济学类、金融学类、经济与贸易类,4,26,73,70,武汉县
2018,40156,宿州,泗县公安局,人民警察,专科,专科：刑事侦查专业、治安管理专业、交通管理专业、刑事科学技术专业、信息网络安全监察专业、警察指挥与战术专业本科：侦查学专业、治安学专业、交通管理工程专业、刑事科学技术专业、网络安全与执法专业、警务指挥与战术专业研究生：公安学（一级学科）、公安技术（一级学科）,2,1,52,71,杰市
2019,40157,宿州,泗县公安局,人民警察,本科,计算机类,1,7,44,77,南京市
2016,40158,宿州,泗县公安局,人民警察,本科,法学门类,1,87,68,67,武汉市
2016,40159,宿州,泗县公安局,人民警察,本科,不限,2,100,67,70,瑜市
2015,40160,宿州,泗县公安局,人民警察,本科,不限,1,62,80,66,哈尔滨县
2017,40161,宿州,泗县公安局,人民警察,本科,不限,1,1,73,70,上海县
2022,40162,宿州,中共泗县县委机构编制委员会办公室县事业单位登记管理服务中心,机关综合,本科,不限,3,1,65,68,嘉禾市
2013,40163,宿州,泗县人力资源和社会保障局县社会保险事业管理服务中心,机关综合,本科,中国语言文学类、金融学类、公共管理类,4,83,72,76,哈尔滨县
2014,40164,宿州,泗县残疾人联合会,文字综合,本科,不限,2,1,72,68,海口市
2021,40165,宿州,泗县乡镇机关,村镇事务管理,本科,不限,1,171,82,75,佛山县
2021,40166,宿州,泗县乡镇机关,村镇事务管理,专科,不限,1,291,75,63,齐齐哈尔县
2013,40167,宿州,泗县乡镇机关,村镇事务管理,专科,不限,1,1,85,70,哈尔滨县
2016,40168,宿州,泗县乡镇机关,人武专干,专科,人民武装专业（退役军人报考可不限专业）,3,1,53,62,齐齐哈尔市
2021,40169,宿州,宿州市中级人民法院,法官助理,本科,法学类,1,80,49,75,潜江县
2017,40170,宿州,宿州市中级人民法院,司法行政人员,本科,法学类,1,16,68,73,齐齐哈尔县
2022,40171,宿州,宿州市中级人民法院,司法行政人员,本科,中国语言文学类、法学类,3,96,54,71,昆明县
2017,40172,宿州,宿州市中级人民法院,司法警察,本科,公安学类,1,80,49,63,琳市
2021,40173,宿州,埇桥区人民法院,法官助理,本科,法学类,3,59,82,74,嘉禾市
2022,40174,宿州,埇桥区人民法院,法官助理,本科,法学类,8,1,86,77,芳县
2015,40175,宿州,埇桥区人民法院,司法行政人员,本科,法学类,6,1,48,78,哈尔滨县
2017,40176,宿州,埇桥区人民法院,司法行政人员,本科,法学类、新闻传播学类、马克思主义理论类、中国语言文学类,5,1,88,75,佛山县
2014,40177,宿州,埇桥区人民法院,司法行政人员,本科,中国语言文学类、工商管理类,1,1,81,74,海燕市
2018,40178,宿州,埇桥区人民法院,司法警察,专科,刑事执行专业、刑事侦查技术专业、行政执行专业、司法警务专业、公共安全管理专业、警察管理专业,1,23,74,73,武汉市
2021,40179,宿州,埇桥区人民法院,司法行政人员,本科,不限,7,41,86,72,齐齐哈尔县
2022,40180,宿州,砀山县人民法院,法官助理,本科,法学类,4,1,51,71,丽市
2014,40181,宿州,砀山县人民法院,法官助理,本科,法学类,3,75,70,63,兴安盟市
2022,40182,宿州,萧县人民法院,法官助理,本科,法学类,6,1,71,71,上海市
2022,40183,宿州,萧县人民法院,法官助理,本科,法学类,1,17,71,73,宇县
2013,40184,宿州,萧县人民法院,司法行政人员,本科,图书情报与档案管理类,4,97,65,59,齐齐哈尔县
2014,40185,宿州,萧县人民法院,司法行政人员,本科,不限,1,1,61,73,畅县
2020,40186,宿州,灵璧县人民法院,法官助理,本科,法学类,3,1,44,75,宇县
2020,40187,宿州,灵璧县人民法院,法官助理,本科,法学类,3,1,64,70,杰市
2022,40188,宿州,灵璧县人民法院,司法行政人员,本科,中国语言文学类、政治学类、新闻传播学类,1,1,68,70,娟县
2013,40189,宿州,灵璧县人民法院,司法行政人员,本科,不限,3,32,65,74,志强县
2019,40190,宿州,泗县人民法院,法官助理,本科,法学类,1,59,53,74,南京市
2020,40191,宿州,泗县人民法院,法官助理,本科,法学类,1,1,0,0,燕县
2015,40192,宿州,泗县人民法院,司法行政人员,本科,金融学类、会计学专业、财务管理专业、审计学专业,2,18,60,62,丹丹市
2014,40193,宿州,宿州市人民检察院,检察官助理,本科,法学类（不含特设专业）,2,31,52,75,杰市
2014,40194,宿州,埇桥区人民检察院,检察官助理,本科,法学类（不含特设专业）,4,27,0,0,宁德县
2022,40195,宿州,埇桥区人民检察院,检察官助理,本科,法学类（不含特设专业）,1,1,66,59,石家庄县
2019,40196,宿州,埇桥区人民检察院,司法行政人员,本科,不限,1,61,86,77,南京市
2021,40197,宿州,埇桥区人民检察院,司法行政人员,本科,新闻学专业、传播学专业、广播电视学专业、编辑出版学专业、数字出版专业,1,1,76,78,上海县
2019,40198,宿州,埇桥区人民检察院,司法行政人员,本科,法学类,1,1,55,73,郑州市
2015,40199,宿州,砀山县人民检察院,检察官助理,本科,法学类（不含特设专业）,1,7,59,67,辛集市
2017,40200,宿州,砀山县人民检察院,检察官助理,本科,法学类（不含特设专业）,1,87,39,63,上海市
2021,40201,宿州,砀山县人民检察院,司法行政人员,本科,新闻学专业、网络与新媒体专业、汉语言文学专业、秘书学专业,1,106,86,76,海燕市
2015,40202,宿州,萧县人民检察院,检察官助理,本科,法学类（不含特设专业）,3,1,76,68,上海市
2013,40203,宿州,萧县人民检察院,检察官助理,本科,不限,1,85,81,70,武汉县
2015,40204,宿州,萧县人民检察院,检察官助理,本科,法学类（不含特设专业）,1,1,65,64,玲市
2020,40205,宿州,灵璧县人民检察院,检察官助理,本科,法学类（不含特设专业）,1,1,47,68,佛山县
2021,40206,宿州,泗县人民检察院,检察官助理,本科,法学类（不含特设专业）,1,1,65,74,辛集市
2022,40207,宿州,泗县人民检察院,检察官助理,本科,法学类（不含特设专业）,5,1,48,70,海燕市
2016,40208,宿州,泗县人民检察院,司法行政人员,本科,不限,3,1,72,77,武汉县
2018,40209,宿州,砀山县乡镇机关,村镇事务管理,高中(中专),不限,3,1,0,0,杰市
2016,40210,宿州,萧县乡镇机关,村镇事务管理,高中(中专),不限,2,86,0,0,丹丹市
2015,40211,宿州,灵璧县乡镇机关,村镇事务管理,高中(中专),不限,1,93,0,0,玲市
2022,40212,宿州,泗县乡镇机关,村镇事务管理,高中(中专),不限,4,84,0,0,杰市
2015,220001,宿松,中共宿松县委办公室,文字综合,本科,本科：中国语言文学类、新闻传播学类、哲学类；硕士研究生：不限专业,2,1,74,72,哈尔滨县
2015,220002,宿松,中共宿松县委讲师组,综合管理,本科,中国语言文学类、新闻传播学类、历史学类、计算机类,2,94,78,77,畅县
2022,220003,宿松,宿松县人民政府办公室,文字综合1,本科,本科：中国语言文学类；硕士研究生：不限专业,1,52,57,69,香港市
2021,220004,宿松,宿松县人民政府办公室,文字综合2,本科,经济学类、法学类、政治学类,4,27,54,74,香港市
2013,220005,宿松,宿松县人力资源和社会保障局,劳动监察,本科,法学类、人力资源管理专业、劳动与社会保障专业,1,31,79,70,宇县
2013,220006,宿松,宿松县教育局,教育行政,本科,本科：教育学专业、汉语言文学专业、思想政治教育专业；硕士研究生：不限专业,4,88,87,77,佛山县
2013,220007,宿松,宿松县住房和城乡建设局,城乡规划建设管理,本科,城乡规划专业、建筑学专业、智慧建筑与建造专业,1,1,84,68,齐齐哈尔市
2017,220008,宿松,宿松县统计局,统计调查分析,本科,统计学类、经济与贸易类,1,18,61,71,荣县
2015,220009,宿松,宿松县财政局,财政管理,本科,财政学类、金融学类、会计学专业、审计学专业、财务管理专业,3,78,83,67,宁德县
2017,220010,宿松,宿松县市场监督管理局,市场监管1,专科,不限,2,77,54,75,玲市
2016,220011,宿松,宿松县市场监督管理局,市场监管2,本科,法学类、食品科学与工程类、药学类,3,98,67,67,武汉市
2020,220012,宿松,宿松县市场监督管理局,市场监管3,本科,不限,6,3,85,68,福州市
2018,220013,宿松,宿松县商务局,电子商务,本科,电子信息类、经济与贸易类,1,71,78,78,俊市
2016,220014,宿松,宿松县司法局,行政复议与应诉,本科,法学类(不含特设专业),3,1,64,65,郑州县
2015,220015,宿松,宿松县司法局,司法行政,本科,中国语言文学类,1,1,77,74,辛集市
2019,220016,宿松,宿松县公安局,人民警察1,本科,会计学专业、审计学专业、财务管理专业,1,1,59,67,海口市
2019,220017,宿松,宿松县公安局,人民警察2,本科,交通管理工程专业、交通设备与控制工程专业、交通工程专业,4,1,70,59,志强县
2022,220018,宿松,宿松县公安局,人民警察3,本科,不限,3,1,57,74,平市
2015,220019,宿松,宿松县公安局,物证检验及鉴定★,本科,刑事科学技术专业、公安视听技术、网络安全与执法专业、侦查学专业,1,20,0,0,南京市
2013,220020,宿松,宿松县公安局,网络安全管理★,本科,计算机科学与技术专业、网络工程专业、信息安全专业,1,88,47,66,杰市
2013,220021,宿松,宿松县公安局,特警,本科,体育教育专业、运动训练专业、武术与民族传统体育专业,5,20,63,65,南京市
2015,220022,宿松,宿松县供销合作社联合社,综合管理,本科,不限,1,1,72,68,嘉禾市
2018,220023,宿松,宿松县供销合作社联合社,农村经济管理,本科,经济与贸易类、工商管理类、农业经济管理类,3,1,60,67,南京市
2018,220024,宿松,宿松县医疗保障基金管理中心,医保基金管理,本科,医学信息工程专业、临床医学专业、医疗保险专业,1,103,70,71,海口市
2020,220025,宿松,宿松县招商中心,招商管理,本科,不限,1,41,82,72,上海县
2017,220026,宿松,宿松县乡镇机关,综合管理1,本科,不限,7,1,48,72,石家庄县
2019,220027,宿松,宿松县乡镇机关,综合管理2,专科,不限,7,57,70,69,娟县
2021,220028,宿松,宿松县乡镇机关,综合管理3,本科,不限,8,35,57,76,海口市
2019,220029,宿松,宿松县乡镇机关,综合管理4,专科,不限,5,254,68,79,上海县
2020,220030,宿松,宿松县乡镇机关,综合管理5,本科,不限,5,161,81,76,武汉县
2020,220031,宿松,宿松县乡镇机关,综合管理6,本科,金融学类、经济与贸易类、电子信息类,3,25,56,75,昆明县
2015,220032,宿松,宿松县乡镇机关,人武专干,专科,人民武装专业（退役军人报考可不限专业）,1,1,35,61,荣县
2016,220033,宿松,宿松县乡镇机关,综合管理,高中（中专）,不限,2,33,0,0,上海县
2020,210001,广德,广德市人民法院,司法行政人员,本科,中国语言文学类、新闻传播学类,1,36,81,67,香港市
2015,210002,广德,广德市人民法院,司法警察,本科,法学类、公安学类,1,1,84,67,哈尔滨市
2019,210003,广德,广德市人民法院,司法警察,本科,法学类、公安学类,4,82,81,65,香港市
2013,210004,广德,广德市人民法院,法官助理,本科,法学类,1,1,84,75,南京市
2017,210005,广德,广德市人民法院,司法行政人员,本科,不限,1,1,78,74,琳市
2022,210006,广德,广德市人民检察院,司法行政人员,本科,不限,1,1,63,74,娟县
2016,210007,广德,共青团广德市委员会,行政管理,本科,会计学专业、行政管理专业、社会工作专业、新闻学专业、网络与新媒体专业,1,1,63,77,杰市
2020,210008,广德,广德市委党校,行政管理,本科,不限,2,1,70,69,平市
2017,210009,广德,广德市委党史和地方志研究室,财务管理,本科,会计学专业、财务管理专业、财务会计教育专业,1,1,69,66,北镇市
2022,210010,广德,广德市公安局,人民警察,本科,不限,6,161,79,71,石家庄县
2017,210011,广德,广德市公安局,人民警察,本科,电子信息类、计算机类,3,120,50,75,武汉县
2016,210012,广德,广德市公安局,人民警察,专科,不限,1,1,71,64,郑州市
2020,210013,广德,广德市市场监督管理局,市场监管执法,本科,机械设计制造及其自动化专业、通信工程专业、药学专业,1,145,76,72,武汉县
2013,210014,广德,广德市非税收入核算中心,财务管理,本科,经济学类、金融学类、工商管理类,1,117,60,75,齐齐哈尔县
2020,210015,广德,广德市应急管理执法大队,安全生产监管执法,本科,安全工程专业、应急技术与管理专业、应急管理专业、机械工程专业、冶金工程专业、金属材料工程专业,4,112,91,73,张家港县
2021,210016,广德,广德市文化市场综合执法大队,文化市场监管执法,本科,法学类、新闻传播学类,1,1,81,72,琳市
2021,210017,广德,广德市商务监察大队,商务监察执法,本科,国际经济与贸易专业、商务经济学专业、会计学专业,1,24,81,69,西宁县
2017,210018,广德,广德市乡镇,综合文秘,本科,中国语言文学类、新闻传播学类,2,1,73,72,上海市
2021,210019,广德,广德市乡镇,财务管理,本科,工商管理类、金融学类,3,1,52,71,昆明县
2014,210020,广德,广德市乡镇,规划建设管理,本科,建筑类、土木类,1,145,50,71,巢湖市
2022,210021,广德,广德市乡镇,行政管理,专科,不限,1,1,52,67,俊市
2020,210022,广德,广德市乡镇,行政管理,专科,不限,7,325,77,78,齐齐哈尔市
2017,210023,广德,广德市桃州镇,农业建设管理,本科,农学门类,1,30,80,72,畅县
2019,210024,广德,广德市新杭镇,安全生产管理,本科,化工与制药类,1,25,49,64,芳县
2015,210025,广德,广德市新杭镇,网络管理,本科,计算机类,1,19,88,69,佛山县
2014,210026,广德,广德市柏垫镇,行政管理,本科,工商管理类,3,1,89,76,兴安盟市
2022,210027,广德,广德市杨滩镇,水利建设管理,本科,水利类,3,1,60,72,海口市
2013,210028,广德,广德市杨滩镇,文化旅游管理,本科,旅游管理类,1,123,77,74,南京市
2018,210029,广德,广德市乡镇,行政管理,高中（中专）,不限,2,1,0,0,张家港县
2013,150001,池州,中共池州市纪委、池州市监委,监督执纪,本科,法学类,2,92,49,69,琳市
2022,150002,池州,池州市社科联,机关综合,本科,不限,2,1,55,75,瑜市
2020,150003,池州,池州市贵池区生态环境分局,生态环境管理,本科,环境科学与工程类、化学类、地理科学类,1,35,61,78,芳县
2014,150004,池州,池州市东至县生态环境分局,生态环境管理,本科,环境科学与工程类、化学类、化工与制药类、生物科学类、法学专业,1,121,51,74,石家庄县
2018,150005,池州,池州市东至县生态环境分局,机关综合,本科,不限,1,15,51,76,上海县
2018,150006,池州,池州市司法局,行政复议与应诉,本科,法学类,1,66,51,73,哈尔滨县
2014,150007,池州,池州市司法局,规范性审查,本科,法学类,1,21,79,74,西宁市
2018,150008,池州,中共池州市委宣传部中共池州市委讲师团,理论宣讲,本科,新闻学专业、广播电视学专业、广告学专业、传播学专业,1,129,87,70,南京市
2014,150009,池州,中共池州市委老干部局池州市老干部活动中心,综合管理,本科,中国语言文学类、新闻传播学类、计算机类、公共管理类,1,1,84,72,北镇市
2019,150010,池州,池州市政府办公室池州市政府发展研究中心,综合文字,本科,经济学门类、工学门类、法学类、汉语言文学专业,1,1,91,73,张家港县
2020,150011,池州,池州市发展改革委池州市联合征信中心,综合管理,本科,经济学门类、管理科学与工程类、工商管理类,1,194,60,72,西宁县
2020,150012,池州,池州市财政局池州市农村综合改革工作站,资金服务保障,本科,经济学类、财政学类、金融学类、会计学专业、财务管理专业、审计学专业、财务会计教育专业,1,5,53,79,上海县
2014,150013,池州,池州市财政局池州市国际合作资金管理中心,综合管理,本科,经济学类、财政学类、金融学类、会计学专业、财务管理专业、审计学专业、财务会计教育专业,1,80,71,74,石家庄县
2020,150014,池州,池州市人力资源和社会保障局池州市人力资源开发指导中心,人力资源管理,本科,工商管理类、公共管理类、中国语言文学类,4,116,53,72,张家港县
2018,150015,池州,池州市生态环境局池州市生态环境保护综合行政执法支队,生态环境管理,本科,环境科学与工程类、化学类、生物科学类、法学专业,1,50,84,75,俊市
2019,150016,池州,池州市农业农村局池州市农业综合行政执法支队（池州市渔政执法支队）,渔政管理,本科,法学类、水产养殖学专业、动植物检疫专业,3,1,77,63,宁德县
2019,150017,池州,池州市农业农村局池州市农业综合行政执法支队（池州市渔政执法支队）,动植物检疫,本科,法学类、水产养殖学专业、动植物检疫专业,3,88,67,74,琳市
2015,150018,池州,池州市水利局池州市河道管理处(池州市河道采砂管理处),河道管理,本科,水利类,4,35,72,73,秀芳县
2020,150019,池州,池州市文化和旅游局池州市文化市场综合执法支队,文化旅游管理,本科,旅游管理类,1,142,69,73,哈尔滨市
2013,150020,池州,池州市文化和旅游局池州市文化市场综合执法支队,文化旅游管理,本科,法学类,1,1,78,72,西宁市
2020,150021,池州,池州市文化和旅游局池州市文化市场综合执法支队,文化旅游管理,本科,不限,4,70,51,67,秀芳县
2013,150022,池州,池州市文化和旅游局池州市文化市场综合执法支队,文化旅游管理,本科,艺术管理专业、音乐学专业、舞蹈学专业、舞蹈编导专业、戏剧影视导演专业,3,96,55,69,荣县
2021,150023,池州,池州市应急管理局池州市应急管理综合行政执法支队,应急管理,本科,机械工程专业、冶金工程专业、地质工程专业、采矿工程专业、安全工程专业、应急技术与管理专业、消防工程专业,1,38,81,75,南京市
2022,150024,池州,池州市市场监管局池州市知识产权事业发展中心,知识产权运用保护,本科,电子信息类,2,102,67,69,上海县
2014,150025,池州,池州市市场监管局池州市知识产权事业发展中心,知识产权运用保护,本科,材料类,3,8,91,69,福州市
2018,150026,池州,池州市市场监管局池州市市场监管综合行政执法支队,市场监管,本科,不限,1,83,57,70,娟县
2018,150027,池州,池州市市场监管局池州市市场监管综合行政执法支队,市场监管,本科,化学类、计算机类,4,5,65,73,杰市
2022,150028,池州,池州市统计局池州市社会经济综合调查队,统计调查,本科,统计学类、经济统计学专业、会计学专业,3,3,55,74,武汉市
2014,150029,池州,池州市林业局池州市森林病虫害防治检疫站(池州市林业自然保护站),森林保护,本科,林学类、自然保护与环境生态类,1,125,81,70,海口市
2019,150030,池州,池州市林业局安徽升金湖国家级自然保护区管理处,财务管理,本科,不限,1,1,58,75,巢湖市
2016,150031,池州,池州市林业局安徽升金湖国家级自然保护区管理处,生态保护,本科,环境科学与工程类、林学类,1,54,84,77,上海市
2013,150032,池州,池州市城市管理行政执法局皖江江南新兴产业集中区分局（池州市城市管理行政执法局皖江江南新兴产业集中区执法大队）,城市管理,本科,不限,1,165,48,72,南京市
