id,年份,岗位代码,地区,部门名称,职位,学历,专业,招考人数,报考人数,分数线,最高分
13094,2015,120010,芜湖,无为市人力资源和社会保障局,办公文秘,本科,不限,1.0,64.0,85.0,77.0
13095,2019,120011,芜湖,无为市卫生健康委员会,卫生管理,本科,临床医学类、公共卫生与预防医学类,3.0,1.0,51.0,73.0
13096,2019,120012,芜湖,无为市民政局,民政救助,本科,不限,1.0,13.0,62.0,52.0
13097,2020,120013,芜湖,无为市住房和城乡建设局,规划建设管理,本科,土木类,2.0,1.0,63.0,76.0
13098,2016,120014,芜湖,无为市林业局,办公文秘,本科,不限,3.0,91.0,51.0,75.0
13099,2013,120015,芜湖,无为市农业农村局,农业管理,本科,植物生产类、水产类、农业经济管理类,1.0,1.0,71.0,68.0
13100,2018,120016,芜湖,无为市农业农村局,农业规划,本科,农业工程类,3.0,1.0,50.0,71.0
13101,2013,120017,芜湖,无为市财政局,工程造价,本科,工程管理专业、工程造价专业、工程审计专业,1.0,114.0,54.0,74.0
13102,2020,120018,芜湖,无为市财政局,财务管理,本科,不限,4.0,32.0,0.0,0.0
13103,2013,120019,芜湖,无为市市场监督管理局姚沟市场监督管理所,市场监管,本科,工商管理类,1.0,1.0,57.0,68.0
13104,2019,120020,芜湖,无为市市场监督管理局严桥市场监督管理所,市场监管,本科,计算机类,1.0,87.0,81.0,72.0
13105,2020,120021,芜湖,无为市市场监督管理局泥汊市场监督管理所,市场监管,本科,法学类（不含特设专业）,1.0,1.0,56.0,67.0
13106,2019,120022,芜湖,无为市市场监督管理局高沟市场监督管理所,市场监管,本科,化学类、药学类、中药学类、医学检验技术专业,1.0,33.0,61.0,69.0
13107,2016,120023,芜湖,无为市市场监督管理局襄安市场监督管理所,市场监管,本科,食品科学与工程类,1.0,1.0,71.0,76.0
13108,2019,120024,芜湖,无为市市场监督管理局基层市场监督管理所,市场监管,本科,机械类、仪器类、电气类、安全科学与工程类,5.0,33.0,61.0,70.0
13109,2019,120025,芜湖,无为市市场监督管理局基层市场监督管理所,市场监管,专科,不限,1.0,17.0,43.0,58.0
13110,2018,120026,芜湖,无为市经济和信息化局,企业服务,本科,经济学类、电子信息类、计算机类,3.0,28.0,91.0,68.0
13111,2022,120027,芜湖,无为市经济和信息化局,企业服务,本科,不限,1.0,88.0,65.0,70.0
13112,2018,120028,芜湖,无为市应急管理局,应急管理,本科,机械电子工程专业、冶金工程专业、电气工程及其自动化专业、安全工程专业、消防工程专业,1.0,1.0,48.0,72.0
13113,2019,120029,芜湖,无为市水务局,水利水政管理,本科,水利类,3.0,29.0,77.0,67.0
13114,2015,120030,芜湖,无为市司法局,法制审查,本科,法学类,2.0,62.0,41.0,68.0
13115,2018,120031,芜湖,无为市司法局陡沟司法所,网络维护,本科,计算机类,2.0,69.0,90.0,73.0
13116,2014,120032,芜湖,无为市司法局基层司法所,司法行政,本科,法学类,2.0,114.0,51.0,68.0
13117,2020,120033,芜湖,无为市投资促进中心,招商引资,本科,经济学类,1.0,9.0,80.0,72.0
13118,2018,120034,芜湖,无为市投资促进中心,办公文秘,本科,不限,3.0,94.0,52.0,75.0
13119,2013,120035,芜湖,无为市无城镇,经济规划,本科,经济学门类,1.0,1.0,53.0,77.0
13120,2013,120036,芜湖,无为市无城镇,规划建设管理,本科,土木类,1.0,115.0,47.0,77.0
13121,2016,120037,芜湖,无为市无城镇,办公文秘,本科,中国语言文学类、新闻传播学类,4.0,104.0,76.0,72.0
13122,2019,120038,芜湖,无为市福渡镇,办公文秘,本科,法学类、马克思主义理论类、中国语言文学类,4.0,117.0,82.0,70.0
13123,2022,120039,芜湖,无为市高沟镇,办公文秘,本科,中国语言文学类,1.0,98.0,63.0,73.0
13124,2021,120040,芜湖,无为市严桥镇,规划建设管理,本科,土木类,1.0,1.0,69.0,72.0
13125,2022,120041,芜湖,无为市牛埠镇,办公文秘,本科,马克思主义理论类、中国语言文学类、新闻传播学类,2.0,16.0,67.0,79.0
13126,2019,120042,芜湖,无为市牛埠镇,乡村振兴,本科,金融学类、电子信息类、电子商务类,1.0,63.0,85.0,72.0
13127,2021,120043,芜湖,无为市蜀山镇,规划建设管理,专科,城乡规划与管理类、土建施工类,1.0,111.0,47.0,64.0
13128,2017,120044,芜湖,无为市姚沟镇,规划建设管理,专科,土建施工类、水利工程与管理类,1.0,1.0,80.0,61.0
13129,2019,120045,芜湖,无为市红庙镇,办公文秘,本科,中国语言文学类,1.0,31.0,80.0,76.0
13130,2014,120046,芜湖,无为市昆山镇,办公文秘,本科,法学类、中国语言文学类、工商管理类,4.0,36.0,68.0,77.0
13131,2015,120047,芜湖,无为市高沟镇,招商引资,专科,金融类、工商管理类,1.0,1.0,71.0,75.0
13132,2014,120048,芜湖,无为市高沟镇,规划建设管理,本科,土木类、建筑类、管理科学与工程类,4.0,1.0,60.0,68.0
13133,2014,120049,芜湖,无为市襄安镇,办公文秘,本科,不限,1.0,144.0,56.0,73.0
13134,2022,120050,芜湖,无为市泉塘镇,乡村振兴,本科,不限,1.0,32.0,71.0,58.0
13135,2018,120051,芜湖,无为市乡镇机关,乡村振兴,专科,不限,2.0,262.0,72.0,75.0
13136,2021,120052,芜湖,无为市乡镇机关,办公文秘,专科,不限,4.0,167.0,55.0,81.0
13137,2015,120053,芜湖,无为市乡镇机关,办公文秘,专科,不限,4.0,113.0,81.0,78.0
13138,2016,120054,芜湖,无为市乡镇机关,乡村振兴,本科,不限,3.0,77.0,50.0,75.0
13139,2013,120055,芜湖,无为市乡镇机关,办公文秘,专科,不限,6.0,1.0,43.0,70.0
13140,2013,120056,芜湖,无为市乡镇机关,办公文秘,本科,不限,6.0,8.0,47.0,68.0
13141,2021,120057,芜湖,中共南陵县纪委监委派驻县卫健委纪检监察组,审查调查,本科,法学类、会计学专业、审计学专业,1.0,94.0,73.0,72.0
13142,2018,120058,芜湖,中共南陵县委宣传部,舆情监管,本科,计算机类,2.0,1.0,49.0,67.0
13143,2018,120059,芜湖,中共南陵县直属机关工作委员会,效能建设,本科,不限,1.0,3.0,74.0,60.0
13144,2018,120060,芜湖,南陵县发展和改革委员会,经济规划,本科,经济学类、金融学类,5.0,144.0,80.0,71.0
13145,2014,120061,芜湖,南陵县经济和信息化局,企业服务,本科,经济学类、机械类、电子信息类、工业工程类,2.0,139.0,91.0,72.0
13146,2016,120062,芜湖,南陵县民政局,民政救助,本科,不限,1.0,18.0,71.0,77.0
13147,2015,120063,芜湖,南陵县司法局,社区矫正,本科,法学类,1.0,1.0,46.0,54.0
13148,2021,120064,芜湖,南陵县人力资源和社会保障局,数据监管,本科,计算机类,2.0,1.0,49.0,78.0
13149,2018,120065,芜湖,南陵县农业农村局,调查统计,本科,经济学类、农业工程类、农业经济管理类,1.0,81.0,62.0,80.0
13150,2019,120066,芜湖,南陵县水务局,水利水政管理,本科,土木类、水利类,5.0,1.0,66.0,71.0
13151,2015,120067,芜湖,南陵县商务局,产业规划,本科,经济学类、金融学类、物流管理与工程类,1.0,82.0,77.0,79.0
13152,2015,120068,芜湖,南陵县审计局,财务审计,本科,会计学专业、财务管理专业、审计学专业,2.0,19.0,69.0,64.0
13153,2015,120069,芜湖,南陵县自然资源和规划局,自然资源管理,本科,林业工程类、环境科学与工程类、建筑类、自然保护与环境生态类、林学类,2.0,1.0,84.0,76.0
13154,2021,120070,芜湖,南陵县市场监督管理局经开区市场监督管理所,市场监管,本科,机械类、材料类,1.0,41.0,71.0,72.0
13155,2022,120071,芜湖,南陵县市场监督管理局许镇市场监督管理所,市场监管,本科,食品科学与工程类、药学类、中药学类,2.0,1.0,56.0,70.0
13156,2013,120072,芜湖,南陵县籍山镇,招商引资,本科,经济学类,4.0,1.0,76.0,67.0
13157,2022,120073,芜湖,南陵县弋江镇,社会救助,本科,法学类、社会学类,1.0,95.0,85.0,69.0
13158,2013,120074,芜湖,南陵县三里镇,乡村振兴,本科,农业工程类,3.0,1.0,69.0,70.0
13159,2018,120075,芜湖,南陵县乡镇机关,乡村振兴,专科,不限,2.0,315.0,82.0,70.0
13160,2019,120076,芜湖,南陵县乡镇机关,乡村振兴,本科,不限,3.0,25.0,80.0,73.0
13161,2016,120077,芜湖,南陵县乡镇机关,乡村振兴,专科,不限,2.0,1.0,44.0,62.0
13162,2014,120078,芜湖,南陵县乡镇机关,乡村振兴,专科,不限,1.0,64.0,63.0,71.0
13163,2014,120079,芜湖,南陵县乡镇机关,人武专干,专科,人民武装专业（退役军人报考可不限专业）,1.0,57.0,78.0,62.0
13164,2013,120080,芜湖,镜湖区司法局,社区矫正,本科,法学类,1.0,23.0,86.0,70.0
13165,2022,120081,芜湖,镜湖区司法局,法制审查,本科,法学类,1.0,39.0,80.0,69.0
13166,2017,120082,芜湖,镜湖区天门山街道,规划建设管理,本科,土木类、建筑类,1.0,1.0,88.0,77.0
13167,2017,120083,芜湖,镜湖区范罗山街道,城市管理,本科,公共管理类,1.0,1.0,87.0,76.0
13168,2015,120084,芜湖,镜湖区大砻坊街道,企业服务,本科,经济学类、法学类,1.0,1.0,90.0,72.0
13169,2020,120085,芜湖,鸠江区司法局裕溪口司法所,司法行政,本科,不限,2.0,1.0,69.0,58.0
13170,2016,120086,芜湖,鸠江区司法局沈巷司法所,司法行政,本科,法学类,2.0,46.0,74.0,66.0
13171,2014,120087,芜湖,鸠江区司法局二坝司法所,社区矫正,本科,法学类,1.0,75.0,64.0,72.0
13172,2014,120088,芜湖,鸠江区司法局官陡司法所,法制审查,本科,法学类,1.0,43.0,76.0,74.0
13173,2013,120089,芜湖,鸠江区沈巷镇,乡村振兴,专科,不限,4.0,263.0,65.0,72.0
13174,2020,120090,芜湖,鸠江区沈巷镇,规划建设管理,本科,建筑类,2.0,9.0,54.0,67.0
13175,2014,120091,芜湖,鸠江区沈巷镇,经济规划,本科,经济学类,1.0,59.0,84.0,68.0
13176,2015,120092,芜湖,鸠江区沈巷镇,办公文秘,本科,中国语言文学类,5.0,48.0,89.0,73.0
13177,2020,120093,芜湖,鸠江区白茆镇,财务管理,本科,工商管理类,1.0,1.0,47.0,70.0
13178,2015,120094,芜湖,鸠江区二坝镇,乡村振兴,本科,不限,3.0,108.0,91.0,69.0
13179,2016,120095,芜湖,鸠江区汤沟镇,法律服务,本科,法学类,4.0,1.0,63.0,69.0
13180,2018,120096,芜湖,鸠江区沈巷镇,人武专干,专科,不限,1.0,1.0,65.0,65.0
13181,2018,120097,芜湖,鸠江区乡镇机关,乡村振兴,本科,不限,1.0,268.0,90.0,78.0
13182,2022,120098,芜湖,鸠江区乡镇机关,乡村振兴,专科,不限,2.0,1.0,76.0,66.0
13183,2016,120099,芜湖,弋江区人民政府办公室,办公文秘,本科,不限,1.0,1.0,58.0,69.0
13184,2022,120100,芜湖,弋江区发展和改革委员会,经济规划,本科,经济学门类,1.0,113.0,86.0,83.0
13185,2018,120101,芜湖,弋江区农业农村水务局,农业管理,本科,农学专业、植物保护专业、水产养殖学专业、农林经济管理专业,4.0,1.0,77.0,70.0
13186,2020,120102,芜湖,弋江区卫生健康委员会,数据资源管理,本科,计算机科学与技术专业、网络工程专业、信息安全专业、电子与计算机工程专业、信息管理与信息系统专业,4.0,1.0,75.0,78.0
13187,2021,120103,芜湖,弋江区司法局火龙司法所,司法行政,本科,法学类,1.0,64.0,51.0,63.0
13188,2022,120104,芜湖,弋江区司法局基层司法所,司法行政,本科,法学类,5.0,1.0,81.0,70.0
13189,2020,120105,芜湖,中共湾沚区纪委监委机关,审查调查,本科,法学类（不含特设专业）,4.0,1.0,61.0,62.0
13190,2016,120106,芜湖,中共湾沚区委巡察办,巡察督察,本科,法学类（不含特设专业）,1.0,1.0,73.0,68.0
13191,2017,120107,芜湖,中共湾沚区委办公室,办公文秘,本科,中国语言文学类、新闻传播学类,4.0,18.0,93.0,71.0
13192,2022,120108,芜湖,中共湾沚区委宣传部,新闻宣传,本科,中国语言文学类、新闻学专业,4.0,37.0,70.0,76.0
13193,2021,120109,芜湖,中共湾沚区委机构编制委员会办公室,机构编制管理,本科,法学类、新闻传播学类、公共管理类,3.0,119.0,65.0,77.0
13194,2015,120110,芜湖,中共湾沚区直属机关工作委员会,办公文秘,本科,不限,3.0,62.0,88.0,77.0
13195,2019,120111,芜湖,中共湾沚区委党校,教学管理,研究生,法学（一级学科）、教育学（一级学科）、中国语言文学（一级学科）、公共管理（一级学科）,1.0,140.0,69.0,70.0
13196,2019,120112,芜湖,湾沚区人民政府办公室,办公文秘,本科,中国语言文学类,1.0,1.0,57.0,71.0
13197,2019,120113,芜湖,湾沚区教育局,基建管理,本科,土木类,1.0,1.0,72.0,77.0
13198,2022,120114,芜湖,湾沚区经济和信息化局,企业服务,本科,电子信息类、自动化类,1.0,125.0,56.0,75.0
13199,2015,120115,芜湖,湾沚区财政局,财务管理,本科,财政学类、会计学专业、财务管理专业,4.0,105.0,66.0,70.0
13200,2017,120116,芜湖,湾沚区人力资源和社会保障局,劳动关系维护,本科,法学类、汉语言文学专业、新闻学专业,1.0,17.0,88.0,70.0
13201,2017,120117,芜湖,湾沚区住房和城乡建设局,规划建设管理,本科,土木类、城乡规划专业,1.0,50.0,55.0,77.0
13202,2014,120118,芜湖,湾沚区交通运输局,财务管理,本科,工商管理类,1.0,42.0,79.0,67.0
13203,2017,120119,芜湖,湾沚区农业农村局,乡村振兴,本科,农学门类,1.0,61.0,66.0,69.0
13204,2021,120120,芜湖,湾沚区商务局,贸易管理,本科,经济与贸易类、电子商务类,2.0,131.0,86.0,72.0
13205,2014,120121,芜湖,湾沚区文化旅游体育局,文旅管理,本科,不限,1.0,54.0,74.0,77.0
13206,2015,120122,芜湖,湾沚区卫生健康委员会,卫生管理,本科,公共卫生与预防医学类,3.0,108.0,76.0,63.0
13207,2016,120123,芜湖,湾沚区审计局,财务审计,本科,财政学专业、会计学专业、审计学专业,4.0,27.0,79.0,72.0
13208,2018,120124,芜湖,湾沚区审计局,财务审计,本科,金融学类、经济学专业,1.0,7.0,77.0,79.0
13209,2013,120125,芜湖,湾沚区市场监督管理局,市场监管,本科,法学类（不含特设专业）,1.0,53.0,74.0,70.0
13210,2019,120126,芜湖,湾沚区市场监督管理局,市场监管,本科,药学类,1.0,135.0,82.0,66.0
13211,2022,120127,芜湖,湾沚区司法局,法制审查,本科,法学类,1.0,1.0,60.0,77.0
13212,2020,120128,芜湖,湾沚区司法局,司法行政,本科,法学类,2.0,1.0,71.0,68.0
13213,2014,120129,芜湖,湾沚区湾沚镇,乡村振兴,本科,农学门类、经济学类,2.0,100.0,63.0,73.0
13214,2016,120130,芜湖,湾沚区六郎镇,乡村振兴,本科,不限,1.0,138.0,60.0,78.0
13215,2020,120131,芜湖,湾沚区六郎镇,乡村振兴,本科,不限,3.0,61.0,45.0,63.0
13216,2019,120132,芜湖,湾沚区乡镇机关,乡村振兴,本科,农学门类、经济学类,2.0,26.0,58.0,70.0
13217,2015,120133,芜湖,湾沚区乡镇机关,乡村振兴,专科,不限,7.0,489.0,70.0,76.0
13218,2021,120134,芜湖,湾沚区乡镇机关,乡村振兴,专科,不限,4.0,49.0,70.0,66.0
13219,2020,120135,芜湖,湾沚区乡镇机关,乡村振兴,专科,不限,1.0,44.0,60.0,70.0
13220,2022,120136,芜湖,中共繁昌区纪委监委机关,审查调查,本科,法学类、公安学类,2.0,60.0,64.0,75.0
13221,2017,120137,芜湖,繁昌区市场监督管理局孙村市场监督管理所,市场监管,本科,不限,2.0,86.0,39.0,64.0
13222,2019,120138,芜湖,繁昌区市场监督管理局经开区市场监督管理所,市场监管,本科,电子信息类、计算机类,1.0,139.0,66.0,70.0
13223,2013,120139,芜湖,繁昌区司法局,法制审查,本科,法学类,1.0,1.0,65.0,66.0
13224,2015,120140,芜湖,繁昌区文化旅游体育局,文旅管理,本科,体育学类、旅游管理类、文化产业管理专业,4.0,9.0,60.0,73.0
13225,2019,120141,芜湖,繁昌区农业农村局,乡村振兴,本科,建筑类、农业经济管理类、人文地理与城乡规划专业、农业工程专业、农学专业、设施农业科学与工程专业,1.0,1.0,81.0,72.0
13226,2015,120142,芜湖,繁昌区水务局,水利水政管理,本科,土木、水利与交通工程专业、水利水电工程专业、水文与水资源工程专业,1.0,1.0,57.0,71.0
13227,2016,120143,芜湖,繁昌区住房和城乡建设局,项目管理,本科,建筑类、土木工程专业,1.0,1.0,71.0,73.0
13228,2018,120144,芜湖,繁昌区政府信访局,信访服务,本科,法学门类,4.0,38.0,70.0,64.0
13229,2013,120145,芜湖,繁昌区交通运输局,交通规划管理,本科,土木类、交通运输类,4.0,144.0,63.0,73.0
13230,2013,120146,芜湖,繁昌区人力资源和社会保障局,就业服务,本科,法学类、经济学类、新闻传播学类、工商管理类、公共管理类,4.0,65.0,87.0,80.0
13231,2018,120147,芜湖,繁昌区发展和改革委员会,经济规划,本科,经济学门类、机械类、材料类、能源动力类、环境科学与工程类,1.0,178.0,70.0,76.0
13232,2020,120148,芜湖,繁昌区财政局新港财政分局,财务管理,本科,财政学专业、金融学专业、会计学专业、财务管理专业,1.0,1.0,50.0,66.0
13233,2017,120149,芜湖,繁昌区繁阳镇,卫生管理,本科,医学门类、计算机类,1.0,1.0,87.0,67.0
13234,2017,120150,芜湖,繁昌区荻港镇,规划建设管理,本科,建筑类,1.0,27.0,55.0,66.0
13235,2016,120151,芜湖,繁昌区孙村镇,乡村振兴,本科,计算机类,1.0,10.0,60.0,68.0
13236,2021,120152,芜湖,繁昌区平铺镇,乡村振兴,专科,不限,3.0,46.0,56.0,76.0
13237,2018,120153,芜湖,繁昌区荻港镇,企业服务,本科,经济学类,2.0,105.0,79.0,71.0
13238,2021,120154,芜湖,繁昌区孙村镇,乡村振兴,本科,不限,1.0,11.0,79.0,72.0
13239,2021,120155,芜湖,繁昌区平铺镇,乡村振兴,本科,不限,1.0,45.0,56.0,68.0
13240,2013,120156,芜湖,繁昌区新港镇,人武专干,专科,人民武装专业（退役军人报考可不限专业）,1.0,71.0,48.0,64.0
13241,2013,120157,芜湖,南陵县公安局,人民警察,本科,中国语言文学类、历史学类,1.0,13.0,69.0,56.0
13242,2018,120158,芜湖,南陵县公安局,人民警察,本科,会计学专业、财务管理专业、审计学专业,1.0,44.0,47.0,74.0
13243,2018,120159,芜湖,南陵县公安局,人民警察,本科,机械类、电气类、电子信息类、计算机类、土木类,3.0,1.0,75.0,74.0
13244,2014,120160,芜湖,南陵县公安局,人民警察,本科,体育学类,1.0,65.0,69.0,65.0
13245,2017,120161,芜湖,南陵县公安局,人民警察,本科,环境科学与工程类、食品科学与工程类,2.0,1.0,57.0,73.0
13246,2020,120162,芜湖,芜湖市公安局繁昌分局,人民警察,本科,法学类,1.0,71.0,53.0,71.0
13247,2013,120163,芜湖,芜湖市公安局繁昌分局,人民警察,本科,中国语言文学类,2.0,86.0,56.0,66.0
13248,2019,120164,芜湖,芜湖市公安局繁昌分局,人民警察,本科,计算机类,3.0,44.0,60.0,63.0
13249,2019,120165,芜湖,芜湖市公安局湾沚分局,人民警察,本科,新闻传播学类,1.0,96.0,76.0,68.0
13250,2022,120166,芜湖,芜湖市公安局湾沚分局,人民警察,本科,不限,2.0,1.0,62.0,67.0
13251,2016,120167,芜湖,芜湖市公安局湾沚分局,人民警察,本科,不限,1.0,88.0,43.0,63.0
13252,2018,120168,芜湖,无为市公安局,人民警察,专科,专科：刑事侦查专业、治安管理专业、交通管理专业、刑事科学技术专业、信息网络安全监察专业、警察指挥与战术专业、特警专业；本科：侦查学专业、治安学专业、交通管理工程专业、刑事科学技术专业、网络安全与执法专业、警务指挥与战术专业；研究生：公安学（一级学科）、公安技术（一级学科）；,3.0,106.0,58.0,71.0
13253,2017,120169,芜湖,无为市公安局,网络安全管理★,本科,计算机科学与技术专业、软件工程专业、网络工程专业、信息安全专业,4.0,64.0,66.0,76.0
13254,2018,120170,芜湖,无为市公安局,法医★,本科,法医学类、临床医学专业、医学影像学专业、眼视光医学专业、精神医学专业、儿科学专业,3.0,12.0,45.0,70.0
13255,2015,120171,芜湖,无为市公安局,人民警察,本科,会计学专业、财务管理专业、审计学专业,2.0,1.0,71.0,66.0
13256,2016,120172,芜湖,无为市公安局,人民警察,本科,不限,4.0,45.0,64.0,67.0
13257,2020,120173,芜湖,芜湖市人民检察院,检察官助理,研究生,诉讼法学（二级学科）、宪法学与行政法学（二级学科）、经济法学（二级学科）,1.0,45.0,70.0,70.0
13258,2016,120174,芜湖,芜湖市人民检察院,检察官助理,研究生,民商法学（二级学科）、国际法学（二级学科）、环境与资源保护法学（二级学科）,3.0,1.0,85.0,74.0
13259,2022,120175,芜湖,芜湖市人民检察院,检察官助理,本科,法学类（不含特设专业）,3.0,21.0,80.0,73.0
13260,2021,120176,芜湖,芜湖市人民检察院,司法行政人员,本科,新闻传播学类,1.0,79.0,63.0,78.0
13261,2020,120177,芜湖,芜湖三山经济开发区人民检察院(市级派出院),检察官助理,本科,法学类（不含特设专业）,1.0,25.0,80.0,66.0
13262,2022,120178,芜湖,无为市人民检察院,检察官助理,本科,法学类,6.0,18.0,76.0,70.0
13263,2017,120179,芜湖,无为市人民检察院,检察官助理,本科,法学类,3.0,60.0,75.0,68.0
13264,2013,120180,芜湖,无为市人民检察院,检察官助理,本科,法学类,1.0,5.0,61.0,66.0
13265,2013,120181,芜湖,无为市人民检察院,司法行政人员,本科,新闻传播学类,1.0,1.0,91.0,75.0
13266,2019,120182,芜湖,南陵县人民检察院,检察官助理,本科,法学类（不含特设专业）,5.0,1.0,53.0,67.0
13267,2022,120183,芜湖,南陵县人民检察院,检察官助理,本科,法学类（不含特设专业）,2.0,101.0,75.0,70.0
13268,2015,120184,芜湖,南陵县人民检察院,司法行政人员,本科,不限,1.0,45.0,83.0,64.0
13269,2015,120185,芜湖,芜湖市镜湖区人民检察院,检察官助理,本科,法学类（不含特设专业）,1.0,100.0,89.0,69.0
13270,2018,120186,芜湖,芜湖市弋江区人民检察院,司法行政人员,本科,不限,1.0,101.0,64.0,78.0
13271,2014,120187,芜湖,芜湖市湾沚区人民检察院,检察官助理,本科,法学类（不含特设专业）,2.0,1.0,66.0,66.0
13272,2014,120188,芜湖,芜湖市中级人民法院,司法行政人员,本科,计算机科学与技术专业、软件工程专业、网络工程专业、电子与计算机工程专业,2.0,181.0,90.0,75.0
13273,2013,120189,芜湖,芜湖市中级人民法院,司法行政人员,本科,新闻传播学类,3.0,157.0,88.0,77.0
13274,2015,120190,芜湖,芜湖经济技术开发区人民法院,法官助理,本科,法学类（不含特设专业）,1.0,89.0,85.0,69.0
13275,2021,120191,芜湖,芜湖经济技术开发区人民法院,司法警察,本科,公安学类、法学类（不含特设专业）,1.0,1.0,77.0,64.0
13276,2019,120192,芜湖,芜湖三山经济开发区人民法院,法官助理,本科,法学类（不含特设专业）,1.0,25.0,52.0,77.0
13277,2014,120193,芜湖,芜湖市镜湖区人民法院,司法警察,本科,不限,1.0,1.0,49.0,66.0
13278,2016,120194,芜湖,芜湖市镜湖区人民法院,司法警察,本科,不限,1.0,1.0,60.0,70.0
13279,2013,120195,芜湖,芜湖市镜湖区人民法院,法官助理,本科,法学类（不含特设专业）,3.0,40.0,59.0,73.0
13280,2014,120196,芜湖,芜湖市鸠江区人民法院,司法行政人员,本科,会计学专业、财务管理专业、审计学专业,1.0,49.0,54.0,72.0
13281,2022,120197,芜湖,芜湖市弋江区人民法院,法官助理,本科,法学类（不含特设专业）,1.0,1.0,52.0,77.0
13282,2019,120198,芜湖,芜湖市弋江区人民法院,法官助理,本科,法学类（不含特设专业）,4.0,1.0,89.0,68.0
13283,2017,120199,芜湖,芜湖市湾沚区人民法院,法官助理,本科,法学类（不含特设专业）,5.0,1.0,68.0,70.0
13284,2016,120200,芜湖,芜湖市湾沚区人民法院,司法行政人员,本科,计算机科学与技术专业、软件工程专业、网络工程专业、电子与计算机工程专业,1.0,61.0,81.0,81.0
13285,2014,120201,芜湖,无为市人民法院,法官助理,本科,法学类（不含特设专业）,5.0,1.0,54.0,72.0
13286,2013,120202,芜湖,无为市人民法院,法官助理,本科,法学类（不含特设专业）,1.0,73.0,68.0,72.0
13287,2021,120203,芜湖,南陵县人民法院,司法行政人员,本科,会计学专业、财务管理专业、审计学专业,1.0,36.0,66.0,68.0
13288,2016,120204,芜湖,无为市乡镇机关,乡村振兴,高中（中专）,不限,4.0,21.0,0.0,0.0
13289,2014,120205,芜湖,南陵县乡镇机关,招商引资,高中（中专）,不限,1.0,45.0,0.0,0.0
13290,2016,120206,芜湖,镜湖区汀棠街道,社区服务,高中（中专）,不限,3.0,1.0,0.0,0.0
13291,2013,120207,芜湖,鸠江区乡镇机关,乡村振兴,高中（中专）,不限,1.0,91.0,0.0,0.0
13292,2019,120208,芜湖,湾沚区乡镇机关,乡村振兴,高中（中专）,不限,1.0,1.0,0.0,0.0
13293,2015,50001,蚌埠,市纪委监委派驻（出）机构,纪检监察,本科,法学门类,1.0,1.0,56.0,75.0
13294,2015,50002,蚌埠,市纪委监委派驻（出）机构,纪检监察,本科,经济学门类,1.0,110.0,78.0,67.0
13295,2014,50003,蚌埠,市纪委监委派驻（出）机构,纪检监察,本科,中国语言文学类,3.0,53.0,52.0,69.0
13296,2022,50004,蚌埠,市中级人民法院,法官助理,本科,法学类,3.0,1.0,63.0,73.0
13297,2017,50005,蚌埠,市中级人民法院,法官助理,本科,法学类,1.0,74.0,89.0,81.0
13298,2013,50006,蚌埠,市人民检察院,司法警察,本科,不限,1.0,170.0,77.0,74.0
13299,2018,50007,蚌埠,市人民检察院,司法行政,本科,不限,2.0,72.0,59.0,74.0
13300,2022,50008,蚌埠,市发展和改革委员会,发改综合,研究生,中国语言文学（一级学科）、应用经济学（一级学科）、会计学（一级学科）,1.0,62.0,66.0,73.0
13301,2017,50009,蚌埠,市财政局,财政管理,本科,经济学类、财政学类、金融学专业、投资学专业、经济与金融专业、统计学类、会计学专业、会计专业、财务管理专业、审计学专业,5.0,236.0,69.0,87.0
13302,2016,50010,蚌埠,市财政局,财政管理,本科,计算机类、管理科学与工程类,2.0,42.0,62.0,75.0
13303,2020,50011,蚌埠,市财政局,财政管理,本科,法学专业、信用风险管理与法律防控专业、国际经贸规则专业,1.0,96.0,62.0,76.0
13304,2020,50012,蚌埠,市自然资源和规划局,自然资源管理,本科,土地资源管理专业、地理信息科学专业、土地整治工程专业,1.0,89.0,91.0,73.0
13305,2014,50013,蚌埠,市自然资源和规划局,自然资源管理,本科,自然地理与资源环境专业、地理科学专业、人文地理与城乡规划专业,1.0,80.0,73.0,75.0
13306,2015,50014,蚌埠,市自然资源和规划局,自然资源管理,本科,测绘工程专业、地理国情监测专业、地理空间信息工程专业,1.0,128.0,90.0,75.0
13307,2020,50015,蚌埠,市自然资源和规划局,自然资源管理,本科,林学专业、森林保护专业、植物保护专业、野生动物与自然保护区管理专业,1.0,63.0,70.0,73.0
13308,2019,50016,蚌埠,市农业农村局,机关综合,本科,植物生产类,4.0,60.0,62.0,70.0
13309,2018,50017,蚌埠,市农业农村局,机关综合,本科,不限,1.0,587.0,78.0,77.0
13310,2015,50018,蚌埠,市市场监督管理局,登记受理,本科,中国语言文学类,1.0,110.0,77.0,72.0
13311,2014,50019,蚌埠,市市场监督管理局,行政许可,本科,药学类,3.0,26.0,83.0,78.0
13312,2017,50020,蚌埠,市市场监督管理局,案件管理,本科,中国语言文学类,2.0,118.0,83.0,72.0
13313,2019,50021,蚌埠,市市场监督管理局,监督检查,本科,不限,3.0,47.0,80.0,69.0
13314,2021,50022,蚌埠,市市场监督管理局,投诉受理,本科,计算机类,2.0,181.0,70.0,76.0
13315,2016,50023,蚌埠,市市场监督管理局,投诉处置,本科,法学类,1.0,118.0,52.0,71.0
13316,2019,50024,蚌埠,市乡村振兴局,机关综合,本科,不限,2.0,90.0,67.0,70.0
